time,prey,predator,bacteria,virus,immune,nutrient,alpha,beta,phi,mutation_rate,curiosity
5.9,16.760797645079055,34.9868685507365,172.1906414525533,23.178052400911223,1.4518667253718236,0.057232826288676,0.18,0.015,0.005,0.03,0.5
6.0,16.1899329782226,35.21411482553301,167.7680286301973,23.369239885173688,1.460441737367316,0.05871512181980603,0.18,0.015,0.005,0.03,0.5
6.1000000000000005,15.63339907971838,35.42286269366761,163.44929741094268,23.545556027534847,1.46896162255391,0.06024004711351763,0.18,0.015,0.005,0.03,0.5
6.2,15.091477878054556,35.61328211380639,159.23384619662457,23.70701661594277,1.4774234117826175,0.06180755109776736,0.18,0.015,0.005,0.03,0.5
6.300000000000001,14.5643797166997,35.785591770843126,155.12095185353186,23.853674089281757,1.4858241384824165,0.06341806515890583,0.18,0.015,0.005,0.03,0.5
6.4,14.052247605058307,35.94005494152125,151.1097773743457,23.98561576660592,1.4941608425586115,0.06507213688078041,0.18,0.015,0.005,0.03,0.5
6.5,13.55516167452431,36.07697531724567,147.1993785261381,24.102961984505626,1.502430574324299,0.06677032586488989,0.18,0.015,0.005,0.03,0.5
6.6000000000000005,13.073143765737129,36.19669283552619,143.3887103724253,24.205864160881244,1.5106303984415033,0.06851317367459271,0.18,0.015,0.005,0.03,0.5
6.7,12.606162079590971,36.299579565861464,139.6766338778422,24.294502803808427,1.5187573978565396,0.07030119429779354,0.18,0.015,0.005,0.03,0.5
6.800000000000001,12.154135831495637,36.38603569004376,136.06192261074165,24.369085483556155,1.5268086777167804,0.07213487021406208,0.18,0.015,0.005,0.03,0.5
6.9,11.716939855596529,36.45648561100512,132.54326950766884,24.429844784801496,1.5347813692569667,0.07401464999028727,0.18,0.015,0.005,0.03,0.5
7.0,11.294409112923331,36.511374218575945,129.11929365259758,24.477036254890542,1.542672633643712,0.0759409463050539,0.18,0.015,0.005,0.03,0.5
7.1000000000000005,10.886343064572916,36.55116333500464,125.78854702401848,24.51093636270703,1.5504796657672435,0.07791413410866088,0.18,0.015,0.005,0.03,0.5
7.2,10.492509877896964,36.5763283578828,122.5495211663198,24.531840481371184,1.558199697969833,0.07993454884302444,0.18,0.015,0.005,0.03,0.5
7.300000000000001,10.112650440144526,36.58735511330365,119.40065374612941,24.540060906629705,1.5658300037007993,0.08200248470431862,0.18,0.015,0.005,0.03,0.5
7.4,9.746482160019571,36.58473692769873,116.34033495872876,24.535924921436433,1.57336790108844,0.08411819294719759,0.18,0.015,0.005,0.03,0.5
7.5,9.393702543096145,36.568971922877466,113.36691375408445,24.519772915881067,1.5808107564197467,0.08628188023394585,0.18,0.015,0.005,0.03,0.5
7.6000000000000005,9.053992531954878,36.540560535347154,110.4787038563747,24.491956570317093,1.588155987519291,0.08849370703326076,0.18,0.015,0.005,0.03,0.5
7.7,8.727019606251062,36.50000325801477,107.67398955505928,24.452837108283127,1.5954010670192236,0.09075378607383673,0.18,0.015,0.005,0.03,0.5
7.800000000000001,8.412440641699579,36.44779859985317,104.95103124951197,24.4027836246155,1.6025435255129015,0.09306218085810822,0.18,0.015,0.005,0.03,0.5
7.9,8.109904530182735,36.38444125702937,102.30807073297484,24.34217149302288,1.6095809545852444,0.09541890424158887,0.18,0.015,0.005,0.03,0.5
8.0,7.819054565881203,36.31042048731377,99.7433362050817,24.27138085634242,1.6165110097135236,0.0978239170832698,0.18,0.015,0.005,0.03,0.5
8.1,7.539530604530765,36.226218678281654,97.25504700541889,24.19079520172586,1.6233314130328853,0.10027712697252394,0.18,0.015,0.005,0.03,0.5
8.200000000000001,7.27097100465902,36.13231009884711,94.84141806353632,24.100800022116008,1.6300399559615195,0.10277838703791438,0.18,0.015,0.005,0.03,0.5
8.3,7.013014360999838,36.02915982299642,92.50066406348772,24.00178156456979,1.6366345016809893,0.1053274948432225,0.18,0.015,0.005,0.03,0.5
8.4,6.765301041263954,35.917222814176625,90.23100332336634,23.894125665263456,1.6431129874678296,0.10792419137590002,0.18,0.015,0.005,0.03,0.5
8.5,6.527474538105968,35.796943158608464,88.03066139241794,23.778216670376985,1.6494734268731224,0.11056816013300719,0.18,0.015,0.005,0.03,0.5
8.6,6.299182648514422,35.66875343579764,85.89787437016376,23.654436441495495,1.655713911747326,0.11325902630952928,0.18,0.015,0.005,0.03,0.5
8.700000000000001,6.080078493003402,35.53307421468129,83.83089195356449,23.523163443682442,1.6618326141082116,0.11599635609376475,0.18,0.015,0.005,0.03,0.5
8.8,5.869821386939511,35.390313664139256,81.82798021961523,23.384771913968386,1.667827787850299,0.11877965607425316,0.18,0.015,0.005,0.03,0.5
8.9,5.668077576132123,35.24086726699455,79.88742415189543,23.239631107655843,1.6736977702947295,0.12160837276245799,0.18,0.015,0.005,0.03,0.5
9.0,5.474520848479181,35.08511762710142,78.00752992052321,23.088104619560315,1.6794409835790165,0.12448189223514204,0.18,0.015,0.005,0.03,0.5
9.1,5.288833033023746,34.92343435965103,76.18662692569653,22.93054977708524,1.6850559358866142,0.12739953990006989,0.18,0.015,0.005,0.03,0.5
9.200000000000001,5.110704397262867,34.75617405539644,74.42306961556127,22.767317101859124,1.6905412225167153,0.13036058038834594,0.18,0.015,0.005,0.03,0.5
9.3,4.939833952981731,34.58368031009424,72.71523908954511,22.598749836541618,1.6958955267951386,0.1333642175763473,0.18,0.015,0.005,0.03,0.5
9.4,4.775929680280914,34.40628381106742,71.06154449855237,22.425183533326702,1.7011176208275927,0.13640959473984152,0.18,0.015,0.005,0.03,0.5
9.5,4.618708678838646,34.22430247340147,69.46042425354545,22.24694570063095,1.7062063660970088,0.13949579484248917,0.18,0.015,0.005,0.03,0.5
9.600000000000001,4.46789725481622,34.03804161888481,67.91034705405698,22.064355504448063,1.711160713907014,0.14262184096052452,0.18,0.015,0.005,0.03,0.5
9.700000000000001,4.323230951183801,33.84779419138817,66.40981274809904,21.8777235208736,1.7159797056739705,0.145786696844983,0.18,0.015,0.005,0.03,0.5
9.8,4.184454528624476,33.65384100294059,64.95735303477528,21.687351536351592,1.7206624730703457,0.14898926762240722,0.18,0.015,0.005,0.03,0.5
9.9,4.051321903573165,33.456451005297204,63.551532020669775,21.493532392264058,1.7252082380224776,0.1522284006345111,0.18,0.015,0.005,0.03,0.5
10.0,3.9235960493691393,33.25588158230402,62.19094664079646,21.296549870571678,1.729616312566096,0.15550288641682192,0.18,0.015,0.005,0.03,0.5
10.100000000000001,3.801048865950207,33.052378858844946,60.87422695455422,21.09667861731573,1.7338860985632158,0.15881145981584913,0.18,0.015,0.005,0.03,0.5
10.200000000000001,3.6834610229956413,32.84617802260553,59.60003632675558,20.89418410090524,1.7380170872842642,0.16215280124385353,0.18,0.015,0.005,0.03,0.5
10.3,3.570621780935371,32.63750365530564,58.36707150339004,20.68932260223612,1.7420088588595164,0.1655255380698098,0.18,0.015,0.005,0.03,0.5
10.4,3.462328793785639,32.426570070439986,57.17406259135353,20.482341233819007,1.745861081604121,0.16892824614467314,0.18,0.015,0.005,0.03,0.5
10.5,3.358387897346416,32.21358165492134,56.0197729509315,20.273477985226876,1.749573511221161,0.17235945145857948,0.18,0.015,0.005,0.03,0.5
10.600000000000001,3.2586128859030334,31.998733212347794,54.902999009368955,20.062961792311217,1.753145989887365,0.17581763192712901,0.18,0.015,0.005,0.03,0.5
10.700000000000001,3.1628252802129695,31.782210305912944,53.82257000340374,19.851012627774267,1.7565784452262072,0.1793012193034284,0.18,0.015,0.005,0.03,0.5
10.8,3.0708540892274394,31.564189599248788,52.77734765818169,19.637841610823664,1.7598708891732637,0.18280860121210038,0.18,0.015,0.005,0.03,0.5
10.9,2.982535567695099,31.344839193735925,51.76622580952015,19.42365113377357,1.7630234167387833,0.18633812330101082,0.18,0.015,0.005,0.03,0.5
11.0,2.8977129715202565,31.12431896103659,50.78812997604118,19.208635003591745,1.7660362046725187,0.18988809150601757,0.18,0.015,0.005,0.03,0.5
11.100000000000001,2.8162363124989964,30.902780869804488,49.84201688726113,18.992978596524413,1.768909510035926,0.19345677442361212,0.18,0.015,0.005,0.03,0.5
11.200000000000001,2.737962113831829,30.680369305702833,48.92687397330142,18.77685902405973,1.7716436686868886,0.1970424057859084,0.18,0.015,0.005,0.03,0.5
11.3,2.6627531676093064,30.45722138402026,48.041718821477495,18.560445308614952,1.774239093682158,0.20064318703203374,0.18,0.015,0.005,0.03,0.5
11.4,2.590478295285787,30.233467254314757,47.18559860463098,18.343898567452545,1.7766962736027174,0.2042572899695974,0.18,0.015,0.005,0.03,0.5
11.5,2.5210121119945885,30.009230396639932,46.35758948569449,18.127372203445223,1.7790157708072853,0.20788285951955376,0.18,0.015,0.005,0.03,0.5
11.600000000000001,2.4542347954135955,29.784627909017374,45.55679600262064,17.911012101419836,1.7811982196191571,0.2115180165374425,0.18,0.015,0.005,0.03,0.5
11.700000000000001,2.390031859762437,29.55977078591468,44.782350437466555,17.694956828914357,1.7832443244515719,0.21516086070367846,0.18,0.015,0.005,0.03,0.5
11.8,2.3282939353992425,29.334764187572482,44.03341217310265,17.479337840281353,1.7851548578767473,0.2188094734752795,0.18,0.015,0.005,0.03,0.5
11.9,2.268916554385333,29.109707700096344,43.309167040710506,17.264279683164915,1.786930658643688,0.22246192109116575,0.18,0.015,0.005,0.03,0.5
12.0,2.2117999422987644,28.884695586292143,42.60882666094785,17.049900206466365,1.7885726296498095,0.2261162576229364,0.18,0.015,0.005,0.03,0.5
12.100000000000001,2.156848816501237,28.659817027277356,41.93162778138994,16.836310768996945,1.7900817358713585,0.2297705280628341,0.18,0.015,0.005,0.03,0.5
12.200000000000001,2.103972190996401,28.435156354946418,41.27683161260486,16.62361644809361,1.7914590022575299,0.23342277144044177,0.18,0.015,0.005,0.03,0.5
12.3,2.0530831879600293,28.210793275407035,40.64372316498485,16.411916247546696,1.792705511593097,0.2370710239595241,0.18,0.015,0.005,0.03,0.5
12.4,2.0040988559729613,27.986803083536742,40.03161058823708,16.20130330425618,1.7938224023342815,0.24071332214632582,0.18,0.015,0.005,0.03,0.5
12.5,1.9569399949452928,27.763256868835704,39.43982451523323,15.991865093096383,1.794810866422479,0.2443477060005724,0.18,0.015,0.005,0.03,0.5
12.600000000000001,1.9115309876841973,27.54022171277362,38.86771741172868,15.783683629527665,1.7956721470803583,0.24797222214038675,0.18,0.015,0.005,0.03,0.5
